feature_type,regressor,train_size,trial,method,coverage,width
Multivariate,RF,876,9,Original_GitHub,0.895611364789447,273.14614903637073
Multivariate,RF,876,9,MAPIE_Online,0.9008117706747844,269.70951985816896
Multivariate,RF,876,9,MAPIE_Batch,0.5840943683409436,136.84810792283315
Multivariate,RF,1654,0,Original_GitHub,0.9026175063326766,282.2820114391129
Multivariate,RF,1654,0,Reimplementation,0.9026175063326766,282.2820114391129
Multivariate,RF,1654,0,MAPIE_Online,0.9065578384463834,271.5691292709923
Multivariate,RF,1654,0,MAPIE_Batch,0.5845764142977765,131.6358932714456
Multivariate,RF,1654,1,Original_GitHub,0.9027582324795947,281.80234650583384
Multivariate,RF,1654,1,MAPIE_Online,0.9065578384463834,271.5691292709923
Multivariate,RF,1654,1,MAPIE_Batch,0.5845764142977765,131.6358932714456
Multivariate,RF,1654,2,Original_GitHub,0.9027582324795947,280.6328392212474
Multivariate,RF,1654,2,MAPIE_Online,0.9065578384463834,271.5691292709923
Multivariate,RF,1654,2,MAPIE_Batch,0.5845764142977765,131.6358932714456
Multivariate,RF,1654,3,Original_GitHub,0.9030396847734309,282.4507832129395
Multivariate,RF,1654,3,MAPIE_Online,0.9065578384463834,271.5691292709923
Multivariate,RF,1654,3,MAPIE_Batch,0.5845764142977765,131.6358932714456
Multivariate,RF,1654,4,Original_GitHub,0.9033211370672671,282.0052964386775
Multivariate,RF,1654,4,MAPIE_Online,0.9065578384463834,271.5691292709923
Multivariate,RF,1654,4,MAPIE_Batch,0.5845764142977765,131.6358932714456
Multivariate,RF,1654,5,Original_GitHub,0.9027582324795947,282.0459436183444
Multivariate,RF,1654,5,MAPIE_Online,0.9065578384463834,271.5691292709923
Multivariate,RF,1654,5,MAPIE_Batch,0.5845764142977765,131.6358932714456
Multivariate,RF,1654,6,Original_GitHub,0.9026175063326766,280.6433149952087
Multivariate,RF,1654,6,MAPIE_Online,0.9065578384463834,271.5691292709923
Multivariate,RF,1654,6,MAPIE_Batch,0.5845764142977765,131.6358932714456
Multivariate,RF,1654,7,Original_GitHub,0.9028989586265128,280.8326933756423
Multivariate,RF,1654,7,MAPIE_Online,0.9065578384463834,271.5691292709923
Multivariate,RF,1654,7,MAPIE_Batch,0.5845764142977765,131.6358932714456
Multivariate,RF,1654,8,Original_GitHub,0.9033211370672671,282.6739785454988
Multivariate,RF,1654,8,MAPIE_Online,0.9065578384463834,271.5691292709923
Multivariate,RF,1654,8,MAPIE_Batch,0.5845764142977765,131.6358932714456
Multivariate,RF,1654,9,Original_GitHub,0.9024767801857585,281.5900211860659
Multivariate,RF,1654,9,MAPIE_Online,0.9065578384463834,271.5691292709923
Multivariate,RF,1654,9,MAPIE_Batch,0.5845764142977765,131.6358932714456
Multivariate,RF,2433,0,Original_GitHub,0.9137031768610716,293.19075041255974
Multivariate,RF,2433,0,Reimplementation,0.9137031768610716,293.19075041255974
Multivariate,RF,2433,0,MAPIE_Online,0.9124387545440177,291.6396109462304
Multivariate,RF,2433,0,MAPIE_Batch,0.6026552868658132,183.478617033596
Multivariate,RF,2433,1,Original_GitHub,0.9132290184921764,293.2153949061686
Multivariate,RF,2433,1,MAPIE_Online,0.9124387545440177,291.6396109462304
Multivariate,RF,2433,1,MAPIE_Batch,0.6026552868658132,183.478617033596
Multivariate,RF,2433,2,Original_GitHub,0.9133870712818081,293.6301859500299
Multivariate,RF,2433,2,MAPIE_Online,0.9124387545440177,291.6396109462304
Multivariate,RF,2433,2,MAPIE_Batch,0.6026552868658132,183.478617033596
Multivariate,RF,2433,3,Original_GitHub,0.9135451240714398,292.5188165061037
Multivariate,RF,2433,3,MAPIE_Online,0.9124387545440177,291.6396109462304
Multivariate,RF,2433,3,MAPIE_Batch,0.6026552868658132,183.478617033596
Multivariate,RF,2433,4,Original_GitHub,0.9135451240714398,293.8578419031365
Multivariate,RF,2433,4,MAPIE_Online,0.9124387545440177,291.6396109462304
Multivariate,RF,2433,4,MAPIE_Batch,0.6026552868658132,183.478617033596
Multivariate,RF,2433,5,Original_GitHub,0.9129129129129129,293.21070997908777
Multivariate,RF,2433,5,MAPIE_Online,0.9124387545440177,291.6396109462304
Multivariate,RF,2433,5,MAPIE_Batch,0.6026552868658132,183.478617033596
Multivariate,RF,2433,6,Original_GitHub,0.9132290184921764,292.24191225464466
Multivariate,RF,2433,6,MAPIE_Online,0.9124387545440177,291.6396109462304
Multivariate,RF,2433,6,MAPIE_Batch,0.6026552868658132,183.478617033596
Multivariate,RF,2433,7,Original_GitHub,0.9129129129129129,292.9974314086174
Multivariate,RF,2433,7,MAPIE_Online,0.9124387545440177,291.6396109462304
Multivariate,RF,2433,7,MAPIE_Batch,0.6026552868658132,183.478617033596
Multivariate,RF,2433,8,Original_GitHub,0.9130709657025446,292.9158471431646
Multivariate,RF,2433,8,MAPIE_Online,0.9124387545440177,291.6396109462304
Multivariate,RF,2433,8,MAPIE_Batch,0.6026552868658132,183.478617033596
Multivariate,RF,2433,9,Original_GitHub,0.9124387545440177,293.33514753248244
Multivariate,RF,2433,9,MAPIE_Online,0.9124387545440177,291.6396109462304
Multivariate,RF,2433,9,MAPIE_Batch,0.6026552868658132,183.478617033596
Multivariate,MLP,876,0,Original_GitHub,0.8944698122780315,426.70445342268556
Multivariate,MLP,876,0,Reimplementation,0.8944698122780315,426.70445342268556
Multivariate,MLP,876,0,MAPIE_Online,0.8915525114155252,318.11523337641944
Multivariate,MLP,876,0,MAPIE_Batch,0.8545154743784881,168.8485515632799
Multivariate,MLP,876,1,Original_GitHub,0.8942161339421614,426.97750340178555
Multivariate,MLP,876,1,MAPIE_Online,0.8915525114155252,318.11523337641944
Multivariate,MLP,876,1,MAPIE_Batch,0.8545154743784881,168.8485515632799
Multivariate,MLP,876,2,Original_GitHub,0.8944698122780315,425.8990752613959
Multivariate,MLP,876,2,MAPIE_Online,0.8915525114155252,318.11523337641944
Multivariate,MLP,876,2,MAPIE_Batch,0.8545154743784881,168.8485515632799
Multivariate,MLP,876,3,Original_GitHub,0.8943429731100964,427.85230667329654
Multivariate,MLP,876,3,MAPIE_Online,0.8915525114155252,318.11523337641944
Multivariate,MLP,876,3,MAPIE_Batch,0.8545154743784881,168.8485515632799
Multivariate,MLP,876,4,Original_GitHub,0.8945966514459666,427.85611217326124
