feature_type,regressor,alpha,trial,method,coverage,width
Multivariate,MLP,0.1,8,Original_GitHub,0.8996860730593608,425.87923286250407
Multivariate,MLP,0.1,8,MAPIE_Online,0.8785673515981736,332.3242786005473
Multivariate,MLP,0.1,8,MAPIE_Batch,0.8550228310502284,198.95055025181546
Multivariate,MLP,0.1,9,Original_GitHub,0.8996860730593608,426.7850114493367
Multivariate,MLP,0.1,9,MAPIE_Online,0.8785673515981736,332.3242786005473
Multivariate,MLP,0.1,9,MAPIE_Batch,0.8550228310502284,198.95055025181546
Multivariate,MLP,0.15000000000000002,0,Original_GitHub,0.8525970319634704,261.6025109445273
Multivariate,MLP,0.15000000000000002,0,Reimplementation,0.8525970319634704,261.6025109445273
Multivariate,MLP,0.15000000000000002,0,MAPIE_Online,0.8284817351598174,291.0208798741342
Multivariate,MLP,0.15000000000000002,0,MAPIE_Batch,0.6484018264840182,147.32954389570548
Multivariate,MLP,0.15000000000000002,1,Original_GitHub,0.8527397260273972,261.25333567590184
Multivariate,MLP,0.15000000000000002,1,MAPIE_Online,0.8284817351598174,291.0208798741342
Multivariate,MLP,0.15000000000000002,1,MAPIE_Batch,0.6484018264840182,147.32954389570548
Multivariate,MLP,0.15000000000000002,2,Original_GitHub,0.853167808219178,259.4153877749605
Multivariate,MLP,0.15000000000000002,2,MAPIE_Online,0.8284817351598174,291.0208798741342
Multivariate,MLP,0.15000000000000002,2,MAPIE_Batch,0.6484018264840182,147.32954389570548
Multivariate,MLP,0.15000000000000002,3,Original_GitHub,0.8525970319634704,260.55311688976377
Multivariate,MLP,0.15000000000000002,3,MAPIE_Online,0.8284817351598174,291.0208798741342
Multivariate,MLP,0.15000000000000002,3,MAPIE_Batch,0.6484018264840182,147.32954389570548
Multivariate,MLP,0.15000000000000002,4,Original_GitHub,0.8524543378995434,260.8912584362144
Multivariate,MLP,0.15000000000000002,4,MAPIE_Online,0.8284817351598174,291.0208798741342
Multivariate,MLP,0.15000000000000002,4,MAPIE_Batch,0.6484018264840182,147.32954389570548
Multivariate,MLP,0.15000000000000002,5,Original_GitHub,0.8525970319634704,261.17988898551664
Multivariate,MLP,0.15000000000000002,5,MAPIE_Online,0.8284817351598174,291.0208798741342
Multivariate,MLP,0.15000000000000002,5,MAPIE_Batch,0.6484018264840182,147.32954389570548
Multivariate,MLP,0.15000000000000002,6,Original_GitHub,0.8525970319634704,261.3102580460997
Multivariate,MLP,0.15000000000000002,6,MAPIE_Online,0.8284817351598174,291.0208798741342
Multivariate,MLP,0.15000000000000002,6,MAPIE_Batch,0.6484018264840182,147.32954389570548
Multivariate,MLP,0.15000000000000002,7,Original_GitHub,0.8528824200913242,260.08218378118556
Multivariate,MLP,0.15000000000000002,7,MAPIE_Online,0.8284817351598174,291.0208798741342
Multivariate,MLP,0.15000000000000002,7,MAPIE_Batch,0.6484018264840182,147.32954389570548
Multivariate,MLP,0.15000000000000002,8,Original_GitHub,0.8527397260273972,261.04935756095773
Multivariate,MLP,0.15000000000000002,8,MAPIE_Online,0.8284817351598174,291.0208798741342
Multivariate,MLP,0.15000000000000002,8,MAPIE_Batch,0.6484018264840182,147.32954389570548
